Epoch,Loss,Accuracy
0,0.6959,55.9524
1,0.6949,53.4524
2,0.6953,53.2143
3,0.6958,54.6429
4,0.6949,55.2381
5,0.6947,55.0
6,0.6949,52.7381
7,0.6953,53.4524
8,0.6951,54.881
9,0.6948,56.1905
10,0.6947,52.9762
11,0.6941,54.2857
12,0.6945,57.2619
13,0.6928,53.9286
14,0.6933,54.7619
15,0.6926,55.9524
16,0.6937,56.4286
17,0.6929,55.5952
18,0.693,53.0952
19,0.6933,54.2857
20,0.6938,57.0238
21,0.693,56.7857
22,0.6927,54.5238
23,0.6925,57.1429
24,0.6926,57.0238
25,0.6919,57.0238
26,0.6918,56.7857
27,0.6913,58.2143
28,0.6919,57.2619
29,0.6918,56.1905
30,0.6914,55.9524
31,0.6911,55.8333
32,0.6909,56.7857
33,0.6908,54.6429
34,0.6903,59.2857
35,0.6907,55.119
36,0.6904,58.8095
37,0.6902,57.5
38,0.6911,57.9762
39,0.6901,58.6905
40,0.6894,59.881
41,0.6903,56.3095
42,0.6899,58.4524
43,0.6894,58.6905
44,0.6898,58.4524
45,0.6887,60.119
46,0.6892,58.5714
47,0.6891,58.4524
48,0.6893,61.1905
49,0.6885,59.4048
50,0.6888,60.3571
51,0.6883,57.381
52,0.6882,60.2381
53,0.6883,60.0
54,0.6879,59.7619
55,0.6879,61.6667
56,0.6878,58.8095
57,0.6877,61.9048
58,0.6874,59.881
59,0.6864,61.6667
60,0.6866,63.2143
61,0.6864,58.9286
62,0.6871,60.9524
63,0.6868,62.1429
64,0.687,60.5952
65,0.6869,60.9524
66,0.6859,60.7143
67,0.686,60.3571
68,0.686,62.9762
69,0.6851,63.8095
70,0.6851,61.9048
71,0.6857,63.5714
72,0.6851,62.8571
73,0.6849,62.2619
74,0.6855,60.3571
75,0.6853,62.8571
76,0.6852,61.4286
77,0.6847,60.3571
78,0.6845,65.2381
79,0.6843,60.9524
80,0.6841,63.9286
81,0.6838,60.5952
82,0.684,62.381
83,0.6834,61.0714
84,0.6838,63.9286
85,0.6827,63.9286
86,0.6831,62.8571
87,0.6831,63.4524
88,0.684,61.4286
89,0.6829,64.881
90,0.6827,62.7381
91,0.6827,63.3333
92,0.6823,63.2143
93,0.6818,62.0238
94,0.6819,63.0952
95,0.6813,63.5714
96,0.6812,65.2381
97,0.6815,63.0952
98,0.6808,64.1667
99,0.6812,63.3333
100,0.6801,66.0714
101,0.6811,63.2143
102,0.681,64.0476
103,0.6799,64.1667
104,0.6799,63.6905
105,0.6804,65.119
106,0.679,62.381
107,0.6797,64.881
108,0.6797,64.4048
109,0.6791,62.9762
110,0.6789,63.8095
111,0.6791,63.0952
112,0.679,66.3095
113,0.6786,65.2381
114,0.6797,64.6429
115,0.6788,64.1667
116,0.6782,64.1667
117,0.6782,64.881
118,0.6775,66.0714
119,0.6778,65.8333
120,0.678,65.5952
121,0.6771,65.5952
122,0.6769,66.0714
123,0.677,64.2857
124,0.6766,64.7619
125,0.6759,64.2857
126,0.6767,66.1905
127,0.6759,66.5476
128,0.6764,64.4048
129,0.6748,65.4762
130,0.6746,65.7143
131,0.6753,65.4762
132,0.6752,66.9048
133,0.6749,65.8333
134,0.6749,65.5952
135,0.6751,65.4762
136,0.6746,66.3095
137,0.6744,64.2857
138,0.6743,65.0
139,0.6735,67.8571
140,0.6743,65.2381
141,0.6738,64.2857
142,0.6733,65.4762
143,0.6737,67.2619
144,0.673,67.1429
145,0.6734,65.4762
146,0.6722,65.119
147,0.6722,68.2143
148,0.6731,63.4524
149,0.6723,67.381
150,0.6717,64.5238
151,0.6719,66.6667
152,0.6724,67.619
153,0.6717,68.2143
154,0.6706,66.5476
155,0.6706,66.5476
156,0.6711,65.4762
157,0.6703,66.3095
158,0.6706,65.8333
159,0.6715,66.1905
160,0.6691,67.2619
161,0.6698,66.5476
162,0.6696,65.3571
163,0.6703,68.2143
164,0.6696,67.0238
165,0.6689,66.6667
166,0.6688,67.1429
167,0.6689,66.6667
168,0.6684,66.3095
169,0.6687,65.5952
170,0.6692,65.0
171,0.6684,65.3571
172,0.6672,64.4048
173,0.6681,67.7381
174,0.6682,67.381
175,0.6677,66.4286
176,0.667,66.1905
177,0.6662,67.7381
178,0.6665,67.1429
179,0.6678,66.3095
180,0.6663,66.0714
181,0.6662,66.7857
182,0.6669,66.6667
183,0.6657,65.9524
184,0.6662,66.9048
185,0.6649,67.619
186,0.6656,66.5476
187,0.6651,67.619
188,0.6649,68.2143
189,0.6648,65.8333
190,0.6648,67.1429
191,0.6649,66.6667
192,0.6635,67.1429
193,0.6632,67.381
194,0.6642,67.8571
195,0.6643,65.9524
196,0.6642,67.0238
197,0.6623,68.4524
198,0.6626,67.7381
199,0.6626,66.4286
200,0.6636,67.1429
201,0.6621,68.3333
202,0.6624,65.9524
203,0.6625,65.0
204,0.6616,66.9048
205,0.6627,66.4286
206,0.6607,68.8095
207,0.6626,66.5476
208,0.6611,67.9762
209,0.6608,67.2619
210,0.6605,67.7381
211,0.66,67.7381
212,0.6609,68.4524
213,0.6605,65.9524
214,0.6603,67.8571
215,0.6601,68.0952
216,0.6602,67.1429
217,0.6595,69.0476
218,0.6597,67.1429
219,0.6586,67.5
220,0.6585,67.2619
221,0.6584,66.9048
222,0.6586,69.1667
223,0.6585,68.8095
224,0.6582,68.3333
225,0.6581,70.0
226,0.6587,68.3333
227,0.6581,66.9048
228,0.6571,67.7381
229,0.6569,70.5952
230,0.6571,67.2619
231,0.6569,67.7381
232,0.6563,68.9286
233,0.6567,68.8095
234,0.6562,67.9762
235,0.6569,69.2857
236,0.655,68.5714
237,0.6552,69.6429
238,0.655,67.1429
239,0.6542,69.5238
240,0.6554,68.9286
241,0.6565,69.4048
242,0.6544,69.2857
243,0.6547,68.9286
244,0.6548,69.0476
245,0.655,69.5238
246,0.6539,68.9286
247,0.6538,68.9286
248,0.6536,68.8095
249,0.6531,69.0476
250,0.6542,68.6905
251,0.6527,68.6905
252,0.6535,69.6429
253,0.6528,68.8095
254,0.6532,67.7381
255,0.6526,68.0952
256,0.6524,70.3571
257,0.6529,69.6429
258,0.6524,69.5238
259,0.6509,69.0476
260,0.6531,68.9286
261,0.6526,69.2857
262,0.653,70.0
263,0.6517,70.7143
264,0.6514,69.6429
265,0.6511,67.8571
266,0.6511,69.4048
267,0.6502,69.2857
268,0.6506,70.5952
269,0.6509,70.7143
270,0.6505,69.0476
271,0.6488,68.9286
272,0.6494,69.1667
273,0.649,70.2381
274,0.6504,68.0952
275,0.6494,69.7619
276,0.6486,69.1667
277,0.6492,70.119
278,0.6496,70.9524
279,0.6479,68.8095
280,0.6482,69.881
281,0.6488,71.7857
282,0.6469,68.6905
283,0.649,68.8095
284,0.6479,69.5238
285,0.6474,69.2857
286,0.648,69.2857
287,0.647,69.7619
288,0.6467,70.4762
289,0.6469,69.881
290,0.6468,70.119
291,0.6467,70.0
292,0.6456,68.0952
293,0.645,68.4524
294,0.6467,68.4524
295,0.6461,71.5476
296,0.647,69.7619
297,0.6455,69.0476
298,0.6464,70.8333
299,0.6465,70.2381
300,0.6449,70.7143
301,0.6446,69.5238
302,0.646,69.7619
303,0.6455,70.2381
304,0.6446,70.7143
305,0.6446,69.881
306,0.6449,70.0
307,0.6438,69.7619
308,0.6427,70.7143
309,0.6446,70.119
310,0.6428,69.5238
311,0.6433,69.881
312,0.6429,68.2143
313,0.6428,70.119
314,0.6435,69.6429
315,0.6436,70.0
316,0.6426,69.2857
317,0.6433,70.0
318,0.6435,70.7143
319,0.6423,69.5238
320,0.6426,70.3571
321,0.6412,70.119
322,0.642,69.6429
323,0.6408,70.5952
324,0.6412,70.5952
325,0.6412,70.8333
326,0.6415,70.8333
327,0.6428,70.4762
328,0.6399,70.9524
